text,label
"Government announces new education reform for rural schools",REAL
"Scientists confirm drinking hot water cures all cancers instantly",FAKE
"Local council opens new public health clinic downtown",REAL
"Celebrity secretly controls the weather using hidden satellites",FAKE
"University launches scholarship program for low-income students",REAL
"Aliens elected mayor in undisclosed ceremony last night",FAKE
"New bus route introduced to reduce city traffic congestion",REAL
"Miracle pill guarantees weight loss of 10kg in one day",FAKE
"Central bank releases annual inflation report",REAL
"Ancient dragon discovered alive beneath capital city",FAKE
